event_id,year,province_name,event_type,entity_id,old_prefecture_name,new_prefecture_name,approval_date,document_number,automatic_continuity,confidence,review_status,risk_flags,description,review_note,source_url,source_revision_id,source_locator,source_layer
WIKI-1987-001,1987,安徽省,upgrade,E341000,徽州地区,黄山市,1987-11-27,国函〔1987〕185号,true,high,accepted_rule_extraction,,"colspan=""3""|徽州地区 |342700 |rowspan=""11""|11月27日国务院批复同意<br>国函〔1987〕185号 |撤销徽州地区，设立黄山市（地级） |colspan=""2""|黄山市 |341000",,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601,row:2,wikipedia_semantic_normalization
WIKI-1987-002,1987,浙江省,upgrade,E330900,舟山地区,舟山市,1987-01-23,国函〔1987〕20号,true,high,accepted_rule_extraction,,"colspan=""3""|舟山地区 |332800 |rowspan=""5""|1月23日国务院批复同意<br>国函〔1987〕20号 |撤销舟山地区，设立舟山市（地级），实行市管县领导体制 |colspan=""2""|舟山市 |330900",,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601,row:20,wikipedia_semantic_normalization
WIKI-1987-003,1987,广东省,abolish,HIST-HN-LMZ,海南黎族苗族自治州,,1987-11-20,国函〔1987〕181号,false,medium,accepted_manual_review,,"rowspan=""10""|海南行政区管辖<br>||colspan=""2""|海南黎族苗族自治州||442200 |rowspan=""10""|11月20日国务院批复同意<br>国函〔1987〕181号 |撤销海南黎族苗族自治州，原自治州所辖市县继续享受少数民族地区各项优惠政策 |colspan=""3""",abolished historical autonomous prefecture; former counties moved to direct Hainan Administrative Region control,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601,row:26,wikipedia_semantic_normalization
WIKI-1987-004,1987,四川省,rename,E510400,渡口市,攀枝花市,1987-01-23,国函〔1987〕19号,true,high,accepted_rule_extraction,,"colspan=""2"" |渡口市||510400||国务院1月23日批复同意<br>国函〔1987〕19号||将渡口市更名为攀枝花市||colspan=""2"" |攀枝花市",,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601,row:37,wikipedia_semantic_normalization
WIKI-1987-005,1987,四川省,rename,E513200,阿坝藏族自治州,阿坝藏族羌族自治州,1987-07-24,国函〔1987〕125号,true,high,accepted_rule_extraction,,"colspan=""2"" |阿坝藏族自治州||513200||rowspan=""2""|国务院7月24日批复同意<br>国函〔1987〕125号||将阿坝藏族自治州更名为阿坝藏族羌族自治州||colspan=""2"" |阿坝藏族羌族自治州",,https://zh.wikipedia.org/wiki/1987%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71416601,row:38,wikipedia_semantic_normalization
WIKI-1988-006,1988,河北省,upgrade,E131000,廊坊地区,廊坊市,1988-09-13,国函〔1988〕114号,true,high,accepted_rule_extraction,,"colspan=""2""|廊坊地区 |132800 |rowspan=""10""|9月13日国务院批复同意<br>国函〔1988〕114号 |撤销廊坊地区，设立廊坊市（地级），实行市县领导体制 |colspan=""2""|廊坊市 |131000",,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,row:2,wikipedia_semantic_normalization
WIKI-1988-007,1988,山西省,establish,E140600,,朔州市,1988-03-24,国函〔1988〕50号,false,medium,accepted_manual_review,,"colspan=""3""| ||rowspan=""3""|3月24日国务院批复同意<br>国函〔1988〕50号||rowspan=""3""|撤销朔县、平鲁县，设立朔州市（地级）和朔州市朔城区、平鲁区<br>以原朔县的行政区域为朔城区的行政区域，以原平鲁县的行政区域为平鲁区的行政区域||colspan=""2""|朔州市||140600",朔州市 was explicitly established as a prefecture-level city,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,row:13,wikipedia_semantic_normalization
WIKI-1988-008,1988,湖南省,upgrade,E430700,常德地区,常德市,1988-01-23,国函〔1988〕23号,true,high,accepted_rule_extraction,,"colspan=""2""|常德地区 |432400 |rowspan=""11""|1月23日国务院批复同意<br>国函〔1988〕23号 |rowspan=""3""|撤销常德地区、常德县，实行市县领导体制，常德市升格为地级市<br>设立常德市武陵区，以原常德市全部和常德县部分乡镇行政区域为武陵区行政区域；设立常德市鼎城区，以原常德县剩余乡镇行政区域为鼎城区行政区域 |colspan=""2""|常德市 |430700",,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,row:17,wikipedia_semantic_normalization
WIKI-1988-009,1988,广东省,upgrade,E441200,肇庆地区,肇庆市,1988-01-07,国函〔1988〕6号,true,high,accepted_rule_extraction,,"colspan=""2""|肇庆地区 |442800 |rowspan=""49""|1月7日国务院批复同意<br>国函〔1988〕6号 |rowspan=""3""|撤销肇庆地区，将肇庆市升为地级市；设立肇庆市端州区、鼎湖区 |colspan=""2""|肇庆市 |441200",,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,row:32,wikipedia_semantic_normalization
WIKI-1988-010,1988,广东省,upgrade,E441300,惠阳地区,惠州市,,,true,high,accepted_rule_extraction,,"colspan=""2""|惠阳地区 |442500 |rowspan=""2""|撤销惠阳地区，将惠州市升为地级市；设立惠州市惠城区 |colspan=""2""|惠州市 |441300",,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,row:45,wikipedia_semantic_normalization
